order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
116-3590913-8053839	22120457283826	1	2014-10-11	FedEx		604120822301	Home
111-3218670-1073047	25067159271282	1	2014-10-11	FedEx		604120822242	Home
115-0098301-0645845	33220067465730	1	2014-10-11	FedEx		604120822286	Home
115-3234579-1887418	02175916573434	1	2014-10-11	FedEx		604120822297	Home
111-4537331-3447454	49013028952698	1	2014-10-12	FedEx		604120822356	Home
112-7003146-1472255	65940675911962	1	2014-10-12	FedEx		604120822264	Home
110-8343535-2752237	68321763335690	1	2014-10-12	FedEx		604120822323	Home
109-2709505-7691464	63166985935754	1	2014-10-12	FedEx		604120822389	Home
115-1843488-2180239	36175450378514	1	2014-10-13	FedEx		604120822437	Home
108-9714413-2981038	37624475856834	1	2014-10-13	FedEx		604120822378	Home
116-1713978-9511400	42005218230394	1	2014-10-13	FedEx		604120822459	Home
113-7046801-1414625	44180343390186	1	2014-10-13	FedEx		604120822460	Home
103-2311493-4827446	54246934810402	1	2014-10-13	FedEx		604120822584	Home
